ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,foldChange,log10padj
WBGene00000001,1921.534577,0.012877325,0.095444571,0.018231741,0.892592137,0.940179646,1.008965836,0.026789155
WBGene00000002,63.08537553,0.586482879,0.531053269,1.212828531,0.270772661,0.455020979,1.501581602,0.341968579
WBGene00000003,109.9433944,0.050293174,0.237932207,0.044828562,0.832319582,0.90484417,1.035475324,0.043426207
WBGene00000004,295.1551494,0.443451607,0.250103079,3.135706236,0.076595206,0.201795029,1.35985385,0.695089536
WBGene00000005,86.7201831,-1.44966318,0.3522122,16.50095402,4.86E-05,0.000602402,0.366106888,3.220113316
WBGene00000006,125.8060098,-0.136026152,0.259571807,0.274516237,0.600318206,0.745406167,0.910022328,0.127607019
WBGene00000007,60.11638401,-0.525374487,0.613974328,0.728555474,0.393351817,0.573540033,0.69477874,0.241436263
WBGene00000008,5.811171095,-6.044657025,1.59726189,13.10000295,0.000295295,0.002783435,0.015148754,2.555418917
WBGene00000009,9.493585306,5.220304843,1.425670763,14.23960425,0.000160947,0.001670079,37.27935109,2.777262855
WBGene00000010,1051.677294,0.013540898,0.105799431,0.016391092,0.898127052,0.943188172,1.00943002,0.025401654
WBGene00000012,5.62819308,-0.584330747,1.224894736,0.226912186,0.633822909,0.768336317,0.666958663,0.114448639
WBGene00000013,6.019962382,1.716514985,0.869964161,3.896189275,0.048395763,0.148610634,3.286415714,0.827950114
WBGene00000016,61.03220742,0.40596437,0.390488605,1.07695564,0.2993796,0.484580812,1.324974294,0.314633786
WBGene00000017,124.2257201,0.535598476,0.284374021,3.533845408,0.060128184,0.171871013,1.449543347,0.764797362
WBGene00000018,563.2257008,0.142726997,0.166727861,0.732793961,0.391979053,0.572064852,1.103989918,0.242554735
WBGene00000019,21.38335233,-0.945788338,0.934356674,1.008146018,0.315347406,0.499568051,0.519145795,0.301405344
WBGene00000020,321.1004244,0.767379307,0.126982939,36.39769186,1.61E-09,6.06E-08,1.702174929,7.21785097
